Feature Id	Aliases	Genome	Type	Function
3843_gene	3843	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5196_gene	5196	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5492_gene	5492	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5181_gene	5181	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5654_gene	5654	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
6665_gene	6665	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5975_gene	5975	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
6173_gene	6173	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
6320_gene	6320	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5356_gene	5356	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5389_gene	5389	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5238_gene	5238	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5867_gene	5867	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
6715_gene	6715	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
6766_gene	6766	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5194_gene	5194	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5556_gene	5556	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
6788_gene	6788	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
6675_gene	6675	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5182_gene	5182	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5979_gene	5979	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
6777_gene	6777	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
6118_gene	6118	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5928_gene	5928	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
5871_gene	5871	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
6762_gene	6762	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
7569_gene	7569	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
7132_gene	7132	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
8094_gene	8094	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
7635_gene	7635	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
7619_gene	7619	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
7283_gene	7283	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
8451_gene	8451	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
7361_gene	7361	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
7362_gene	7362	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
8061_gene	8061	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
7346_gene	7346	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
8446_gene	8446	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
8336_gene	8336	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
6998_gene	6998	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
7978_gene	7978	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
7624_gene	7624	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
8067_gene	8067	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
8490_gene	8490	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
