Feature_ID	List
7385_gene	10m,1hr
8212_gene	10m,1hr
7650_gene	10m
8325_gene	10m
7014_gene	10m,1hr
6872_gene	10m
7863_gene	10m,1hr
6838_gene	10m
8292_gene	10m,1hr
8476_gene	10m,1hr
7476_gene	10m
7294_gene	10m
7218_gene	10m
7086_gene	10m
7530_gene	10m
7526_gene	10m
7290_gene	10m
8481_gene	10m
7861_gene	10m
8249_gene	10m,1hr
7754_gene	10m,1hr
7984_gene	10m,1hr
8335_gene	10m
7914_gene	10m
7833_gene	10m
8134_gene	10m
7549_gene	10m,1hr
6873_gene	10m,1hr
7860_gene	10m
7461_gene	10m
8479_gene	10m
7342_gene	10m
7246_gene	10m
7217_gene	10m,1hr
6993_gene	10m,1hr
7985_gene	10m
6849_gene	10m
7071_gene	10m,1hr
8363_gene	10m
7753_gene	10m
7307_gene	10m,1hr
8818_gene	10m,1hr
8885_gene	10m,1hr
9058_gene	10m,1hr
8933_gene	10m
9597_gene	10m
9229_gene	10m
9530_gene	10m
9103_gene	10m,1hr
8587_gene	10m,1hr
9059_gene	10m,1hr
8972_gene	10m,1hr
9047_gene	10m,1hr
8791_gene	10m
8816_gene	10m,1hr
8686_gene	10m,1hr
8666_gene	10m
9210_gene	10m
8855_gene	10m,1hr
8893_gene	10m
8558_gene	10m
9317_gene	10m,1hr
9446_gene	10m,1hr
9008_gene	10m
8815_gene	10m,1hr
9283_gene	10m,1hr
8777_gene	10m,1hr
8613_gene	10m,1hr
9070_gene	10m,1hr
9017_gene	10m,1hr
9280_gene	10m
9281_gene	10m
9461_gene	10m,1hr
8559_gene	10m
8582_gene	10m,1hr
9069_gene	10m,1hr
8981_gene	10m,1hr
9302_gene	10m
8999_gene	10m
8776_gene	10m
8577_gene	10m
9011_gene	10m
9559_gene	10m
8583_gene	10m,1hr
8848_gene	10m
9033_gene	10m
8687_gene	10m
9508_gene	10m,1hr
9147_gene	10m,1hr
8612_gene	10m,1hr
9071_gene	10m,1hr
9001_gene	10m
8586_gene	10m,1hr
9441_gene	10m
9019_gene	10m
9493_gene	10m
8634_gene	10m,1hr
9444_gene	10m
8775_gene	10m
9282_gene	10m,1hr
8828_gene	10m
8894_gene	10m
9091_gene	10m
8996_gene	10m,1hr
9492_gene	10m,1hr
8767_gene	10m
9326_gene	10m,1hr
9482_gene	10m
9395_gene	10m,1hr
9207_gene	10m
8731_gene	10m
9234_gene	10m
8631_gene	10m,1hr
8780_gene	10m
8770_gene	10m
9454_gene	10m
9143_gene	10m
9007_gene	10m
8574_gene	10m
9975_gene	10m
10314_gene	10m
10480_gene	10m
10561_gene	10m,1hr
10205_gene	10m,1hr
10333_gene	10m
10675_gene	10m
9983_gene	10m
9674_gene	10m
10198_gene	10m,1hr
10195_gene	10m,1hr
10507_gene	10m
10041_gene	10m
9730_gene	10m,1hr
9651_gene	10m,1hr
10762_gene	10m
9733_gene	10m
9641_gene	10m
10468_gene	10m
9742_gene	10m,1hr
10780_gene	10m
9931_gene	10m
10716_gene	10m
10164_gene	10m,1hr
10147_gene	10m
10202_gene	10m,1hr
9910_gene	10m
10087_gene	10m,1hr
10692_gene	10m
9652_gene	10m
10203_gene	10m
10580_gene	10m,1hr
10307_gene	10m
10201_gene	10m
10620_gene	10m
10402_gene	10m,1hr
9724_gene	10m,1hr
9849_gene	10m,1hr
10207_gene	10m,1hr
10632_gene	10m
10647_gene	10m,1hr
10166_gene	10m,1hr
10141_gene	10m
9739_gene	10m,1hr
9947_gene	10m
9913_gene	10m,1hr
10383_gene	10m
9993_gene	10m,1hr
10206_gene	10m,1hr
10693_gene	10m
10717_gene	10m,1hr
9723_gene	10m
9892_gene	10m
10233_gene	10m
10649_gene	10m
10730_gene	10m
10463_gene	10m,1hr
10246_gene	10m
10721_gene	10m
10363_gene	10m
10331_gene	10m,1hr
10637_gene	10m
9725_gene	10m
10151_gene	10m
10464_gene	10m,1hr
10423_gene	10m
10094_gene	10m
1764_gene	1hr
2226_gene	1hr
1283_gene	1hr
1488_gene	1hr
2325_gene	1hr
143_gene	1hr
2525_gene	1hr
1966_gene	1hr
1218_gene	1hr
451_gene	1hr
929_gene	1hr
337_gene	1hr
2194_gene	1hr
1032_gene	1hr
1638_gene	1hr
1033_gene	1hr
554_gene	1hr
1177_gene	1hr
11_gene	1hr
1839_gene	1hr
2058_gene	1hr
2057_gene	1hr
142_gene	1hr
1010_gene	1hr
344_gene	1hr
1553_gene	1hr
2392_gene	1hr
177_gene	1hr
2140_gene	1hr
997_gene	1hr
2184_gene	1hr
2459_gene	1hr
2636_gene	1hr
527_gene	1hr
1948_gene	1hr
2572_gene	1hr
9_gene	1hr
783_gene	1hr
1916_gene	1hr
1414_gene	1hr
1405_gene	1hr
239_gene	1hr
1315_gene	1hr
